title,label
Urogenital,Epididymal leiomyoma 
Urogenital,Epididymal lesions 
Urogenital,Epididymis 
Urogenital,Epididymitis 
"CNS,Spine",Epidural angiolipoma 
"Spine,CNS,Interventional,Musculoskeletal",Epidural blood patch 
CNS,Epidural ligaments 
"CNS,Musculoskeletal,Spine",Epidural lipomatosis 
Misc,Epidural spinal cord compression (ESCC) scale 
Spine,Epidural venous congestion 
"Musculoskeletal,Gastrointestinal",Epigastric hernia 
HN,Epiglottic enlargement 
HN,Epiglottis 
"Paediatrics,HN",Epiglottitis 
"Obstetrics,HN",Epignathus 
CNS,Epilepsy 
CNS,Epilepsy protocol (MRI) 
Misc,Epiphenomenon 
"HN,CNS",Epiphora 
Gastrointestinal,Epiphrenic diverticulum 
Musculoskeletal,Epiphyseal bracket 
Musculoskeletal,Epiphyseal equivalent 
Musculoskeletal,Epiphyseal lesions (differential) 
Musculoskeletal,Epiphyseal lesions (mnemonic) 
Obstetrics,Epiphyseal ossification centers on fetal ultrasound 
Musculoskeletal,Epiphyseal overgrowth (differential) 
Musculoskeletal,Epiphyseal spur 
Musculoskeletal,Epiphysis 
Gastrointestinal,Epiploic appendage 
Gastrointestinal,Epiploic appendagitis 
Gastrointestinal,Epiploic foramen 
Musculoskeletal,Epipyramis 
Haematology,Episodic angioedema with eosinophilia 
"Paediatrics,CNS",Episodic spontaneous hypothermia with hyperhidrosis syndrome 
"Paediatrics,Urogenital",Epispadias 
HN,Epistaxis 
"Chest,Musculoskeletal",Episternal ossicles 
CNS,Epithalamus 
CNS,Epithelial membrane antigen (EMA) 
"Oncology,Chest",Epithelial-myoepithelial carcinoma of lung 
Gynaecology,Epithelial ovarian tumors 
Urogenital,Epithelioid angiomyolipoma of kidney 
CNS,Epithelioid glioblastoma 
Vascular,Epithelioid hemangioendothelioma 
"Oncology,Vascular,Musculoskeletal",Epithelioid hemangioma 
"Oncology,Musculoskeletal",Epithelioid hemangioma of bone 
"Musculoskeletal,Oncology",Epithelioid sarcoma 
Gynaecology,Epithelioid trophoblastic tumor 
Spine,Epitransverse process of the atlas 
HN,Epitympanum 
Misc,Epoch (machine learning) 
"Musculoskeletal,Trauma",Eponymous fractures 
CNS,Epstein-Barr virus encephalitis 
Misc,Equivalent dose 
Urogenital,Erased charcoal sign (prostate cancer) 
"Obstetrics,Paediatrics",Erb palsy 
"CNS,Musculoskeletal,Chest",Erdheim-Chester disease 
Chest,Erdheim-Chester disease (pulmonary manifestations) 
"Chest,Gastrointestinal",Erect chest x-ray (summary) 
Urogenital,Erectile dysfunction 
"Musculoskeletal,Spine",Erector spinae group 
"Spine,Musculoskeletal",Erector spinae muscles  (mnemonic) 
Misc,Erg (unit) 
Musculoskeletal,Erlenmeyer flask deformity 
Musculoskeletal,Erlenmeyer flask deformity (mnemonic) 
Misc,Ernst angle 
Musculoskeletal,Erosion of superior aspects of ribs (differential) 
"Musculoskeletal,Spine",Erosion of the odontoid process (differential) 
Musculoskeletal,Erosive arthritis (differential) 
Musculoskeletal,Erosive osteoarthritis 
Misc,Errors in diagnostic radiology 
Gastrointestinal,Eructation 
Misc,Erysipelas 
Musculoskeletal,Erythema nodosum 
Haematology,Erythrocyte sedimentation rate 
Haematology,Erythrocytosis 
"Oncology,Gastrointestinal,Chest",Esophageal and esophagogastric junction adenocarcinoma (staging) 
"Oncology,Gastrointestinal",Esophageal and esophagogastric junction neuroendocrine tumor (staging) 
"Chest,Gastrointestinal,Oncology",Esophageal and esophagogastric junction squamous cell carcinoma (staging) 
Gastrointestinal,Esophageal lymph node stations 
Misc,Essential elements 
Haematology,Essential thrombocythemia 
"Musculoskeletal,Trauma",Essex-Lopresti fracture-dislocation 
Urogenital,Estimated glomerular filtration rate 
CNS,État criblé 
CNS,État lacunaire 
"HN,Obstetrics",Ethmocephaly 
HN,Ethmoidal air cells 
HN,Ethmoid bone 
HN,Ethmoid bulla 
HN,Ethmoid infundibulum 
HN,Ethmoid mucocele 
"CNS,Forensic",Ethylene glycol toxicity 
Misc,European Congress of Radiology (ECR) 
Misc,European Diploma in Radiology 
Misc,European Society of Radiology 
HN,European Thyroid Association TIRADS 
Hepatobiliary,EUS-guided biliary drainage 
HN,Eustachian tube 
HN,Eustachian tube dysfunction 
Cardiac,Eustachian valve 
Gastrointestinal,Evacuation proctography 
"Chest,Paediatrics",Evaluation of endotracheal tube position 
Musculoskeletal,Evaluation of recurrent bone tumors 
CNS,Evans' index 
Misc,Evolutionary algorithms (machine learning) 
"Oncology,Musculoskeletal,Paediatrics",Ewing sarcoma 
"Chest,Musculoskeletal",Ewing sarcoma (chest wall) 
"Musculoskeletal,Oncology,Paediatrics",Ewing sarcoma family of tumors 
Misc,Examples of normal imaging article structure 
Misc,Exam set-pieces 
Chest,Excessive dynamic airway collapse 
Musculoskeletal,Excessive lateral pressure syndrome 
Chest,Excipient lung disease 
Misc,Excitation 
Hepatobiliary,Exclamation mark sign (limy bile) 
"Obstetrics,CNS",Exencephaly 
Misc,Existing article review process 
Chest,Exogenous lipoid pneumonia 
Oncology,Exophytic 
Hepatobiliary,Exophytic hepatic mass 
Musculoskeletal,Exostosis 
Obstetrics,Expanded amnion sign 
CNS,Expanded treatment in cerebral ischemia (eTICI) score 
Musculoskeletal,Expansile lytic lesions without cortical destruction of bone (differential) 
Misc,Explainable artificial intelligence 
Misc,Explanation (multiple choice questions) 
Misc,Exposure 
Misc,Extended reality 
"Trauma,Musculoskeletal,Spine",Extension teardrop fracture 
Breast,Extensive intraductal component (invasive ductal carcinoma) 
Musculoskeletal,Extensor carpi radialis brevis muscle 
Musculoskeletal,Extensor carpi radialis longus muscle 
Musculoskeletal,Extensor carpi ulnaris muscle 
Musculoskeletal,Extensor carpi ulnaris tendinopathy 
Musculoskeletal,Extensor compartments of the wrist 
Musculoskeletal,Extensor digiti minimi muscle 
Musculoskeletal,Extensor digitorum brevis manus muscle 
Musculoskeletal,Extensor digitorum brevis muscle 
Musculoskeletal,Extensor digitorum longus muscle 
Musculoskeletal,Extensor digitorum muscle 
Musculoskeletal,Extensor expansion 
Musculoskeletal,Extensor hallucis brevis muscle 
Musculoskeletal,Extensor hallucis capsularis tendon 
Musculoskeletal,Extensor hallucis longus 
Musculoskeletal,Extensor indicis muscle 
Musculoskeletal,Extensor mechanism of the knee 
Musculoskeletal,Extensor mechanism of the knee injuries 
Musculoskeletal,Extensor pollicis brevis muscle 
Musculoskeletal,Extensor pollicis longus muscle 
Musculoskeletal,Extensor retinaculum (disambiguation) 
Musculoskeletal,Extensor retinaculum (foot) 
Musculoskeletal,Extensor retinaculum (wrist) 
HN,External auditory canal 
"CNS,HN",External auditory canal atresia 
HN,External auditory canal cholesteatoma 
HN,External auditory canal exostoses 
HN,External auditory canal osteoma 
"Paediatrics,Oncology",External beam radiotherapy 
CNS,External capsule 
"Vascular,HN",External carotid artery 
HN,External ear 
Trauma,External fixation 
Misc,External foreign body artifact 
Vascular,External iliac artery 
Urogenital,External iliac lymph nodes 
Vascular,External iliac vein 
"Musculoskeletal,Chest",External intercostal muscle 
"HN,Vascular",External jugular vein 
"Vascular,HN",External jugular vein tributaries (mnemonic) 
HN,External laryngeal nerve 
Musculoskeletal,External oblique muscle 
CNS,External petrosal nerve 
CNS,External ventricular drain 
Urogenital,Extra-adrenal myelolipoma 
"Interventional,Musculoskeletal",Extra-articular injection 
Musculoskeletal,Extra-articular lateral hindfoot impingement syndrome 
CNS,Extra-axial 
CNS,Extra-axial collection (summary) 
CNS,Extra-axial masses (differential) 
Misc,Extracellular space and extracellular matrix 
Cardiac,Extracellular volume (ECV) - myocardium 
Obstetrics,Extrachorial placenta 
HN,Extraconal orbital compartment 
"HN,CNS",Extraconal orbital lesions 
"Cardiac,Chest,Paediatrics,Vascular",Extracorporeal membrane oxygenation 
"Gastrointestinal,HN,Urogenital",Extracorporeal shock wave lithotripsy 
"CNS,Trauma",Extracranial brain herniation 
"CNS,HN",Extracranial meningioma 
"CNS,Trauma",Extradural hematoma vs subdural hematoma 
"CNS,Trauma",Extradural hemorrhage 
CNS,Extradural hemorrhage (summary) 
CNS,Extradural hemorrhage (venous) 
CNS,Extradural neural axis compartment 
CNS,Extradural space 
"Hepatobiliary,Vascular",Extrahepatic portal vein obstruction 
"Oncology,Urogenital",Extramammary Paget disease 
"Oncology,Chest,Hepatobiliary,Haematology",Extramedullary hematopoiesis 
"Haematology,Gastrointestinal",Extramedullary hematopoiesis in the adrenal gland 
Oncology,Extramedullary hematopoiesis in the spleen 
"Haematology,HN",Extramedullary plasmacytoma 
HN,Extramural air cell 
Gastrointestinal,Extramural vascular invasion (EMVI) 
CNS,Extraneural spread of intracranial neoplasm 
"Oncology,Haematology",Extranodal extension 
"CNS,HN",Extraocular muscle involvement in thyroid associated orbitopathy (mnemonic) 
"CNS,HN",Extraocular muscle nerve supply (mnemonic) 
HN,Extraocular muscles 
Chest,Extrapleural air sign (pneumomediastinum) 
Chest,Extrapleural fat 
Chest,Extrapleural fat sign 
"Chest,Trauma",Extrapleural hematoma 
Chest,Extrapleural sign 
CNS,Extrapontine myelinolysis 
"Oncology,Urogenital",Extraprostatic extension of prostate cancer 
"CNS,Gastrointestinal,Urogenital,Spine,Hepatobiliary",Extrapulmonary tuberculosis 
CNS,Extrapyramidal system 
Urogenital,Extrarenal pelvis 
"Oncology,Musculoskeletal",Extrarenal rhabdoid tumor 
Musculoskeletal,Extraskeletal chondrosarcoma 
Musculoskeletal,Extraskeletal Ewing sarcoma 
Musculoskeletal,Extraskeletal musculoskeletal lesions by compartment 
Musculoskeletal,Extraskeletal osteosarcoma 
Urogenital,Extratesticular cystic lesions (differential) 
Urogenital,Extratesticular scrotal mass (differential) 
Gynaecology,Extra-uterine pelvic leiomyoma 
CNS,Extraventricular neurocytoma 
CNS,Extreme capsule 
Musculoskeletal,Extrinsic muscles of the hand 
HN,Extrinsic muscles of the tongue 
HN,Extrinsic muscles of the tongue (mnemonic) 
"Paediatrics,Musculoskeletal",Extrusion index 
Chest,Exudate 
"HN,Paediatrics",Exudative retinitis 
HN,Eyebrow 
HN,Eyelid 
HN,Eye movements 
CNS,Eye of the tiger sign (globus pallidus) 
Misc,F-18 DOPA 
"CNS,Oncology",F-18 fluorodeoxyglucose 
Chest,F-18 fluorodeoxyglucose (FDG) embolism 
Musculoskeletal,Fabella 
Misc,Fabellofibular ligament 
Musculoskeletal,FABER test 
CNS,Fabry disease 
Cardiac,Fabry disease (cardiac manifestations) 
Musculoskeletal,FABS position 
Urogenital,Faceless kidney 
CNS,Face of the giant panda sign (midbrain) 
"Musculoskeletal,Spine,Trauma",Facet dislocation 
"Musculoskeletal,Spine",Facet joint 
"Spine,Musculoskeletal",Facet joint arthropathy 
"Spine,Musculoskeletal",Facet joint capsule 
Spine,Facet joint injection 
Spine,Facet joint tropism 
Spine,Facet joint vacuum phenomenon 
HN,Facial angiofibroma 
"Vascular,HN",Facial artery 
HN,Facial bones 
HN,Facial bones (reverse Waters) 
"HN,CNS,Vascular",Facial-cavernous anastomoses 
"Obstetrics,HN",Facial clefts 
CNS,Facial colliculus 
CNS,Facial colliculus syndrome 
"HN,Trauma",Facial fractures 
"HN,Musculoskeletal",Facial muscles 
"CNS,HN",Facial nerve 
"CNS,HN",Facial nerve branches (mnemonic) 
CNS,Facial nerve choristoma 
"CNS,Oncology",Facial nerve schwannoma 
"HN,CNS",Facial nerve segments (mnemonic) 
CNS,Facial nucleus 
"CNS,HN",Facial palsy 
HN,Facial recess 
"HN,Vascular",Facial vein 
"Paediatrics,Spine,Musculoskeletal",Facioscapulohumeral muscular dystrophy 
HN,Factitious hyperthyroidism 
Misc,Factors affecting T1 
Haematology,Factor V Leiden 
Musculoskeletal,FADIR test 
Gastrointestinal,Fecal calprotectin 
Gastrointestinal,Fecal immunochemical test 
Gastrointestinal,Fecal impaction 
Gastrointestinal,Fecaloma 
Gastrointestinal,Fecolith 
CNS,Fahr syndrome 
"Musculoskeletal,Spine",Failed back syndrome 
Obstetrics,Failed early pregnancy 
Obstetrics,Failed pregnancy 
"Hepatobiliary,Vascular",Falciform artery 
"CNS,HN",Falciform crest 
"Gastrointestinal,Hepatobiliary",Falciform ligament 
Gastrointestinal,Falciform ligament hernia 
Gastrointestinal,Falciform ligament sign 
"Vascular,CNS",Falcine sinus 
Cardiac,Fallen contrast sign 
Musculoskeletal,Fallen fragment sign 
"Chest,Trauma",Fallen lung sign 
Misc,Falling snow sign (disambiguation) 
Urogenital,Falling snow sign (spermatocele) 
"Musculoskeletal,Trauma",Fall onto an outstretched hand 
HN,Fallopian canal 
"Urogenital,Gastrointestinal,Musculoskeletal,Obstetrics,HN,Gynaecology",Fallopian (disambiguation) 
"Obstetrics,Gynaecology",Fallopian tubal rupture 
"Obstetrics,Gynaecology",Fallopian  tube 
Gynaecology,Fallopian tube polyp 
Gynaecology,Fallopian tube segments  (mnemonic) 
Gynaecology,Fallopian tube spasm 
Gynaecology,Fallopian tube torsion 
"Interventional,Vascular",False aneurysm 
Obstetrics,False umbilical cord knot 
HN,False vocal cords 
CNS,Falx cerebelli 
CNS,Falx cerebri 
CNS,Falx ossification 
"Paediatrics,Oncology,Gastrointestinal",Familial adenomatous polyposis syndrome 
"Oncology,Gastrointestinal,Hepatobiliary",Familial atypical multiple mole melanoma syndrome 
"Paediatrics,Musculoskeletal,Chest,Gastrointestinal",Familial Mediterranean fever 
HN,Familial medullary thyroid carcinoma 
"Vascular,CNS",Familial multiple cavernous malformation syndrome 
Musculoskeletal,Familial multiple lipomatosis 
"Obstetrics,Musculoskeletal,Haematology",Fanconi anemia 
Urogenital,Fanconi syndrome 
Misc,Faraday cage 
Musculoskeletal,Fascia 
Musculoskeletal,Fascia lata 
"Musculoskeletal,Gastrointestinal",Fascial tail sign 
"Musculoskeletal,Oncology",Fascicular sign 
Misc,Fast spin echo 
CNS,Fatal familial insomnia 
"Oncology,CNS",Fat containing brain lesions 
Breast,Fat containing breast lesions 
Cardiac,Fat containing cardiac lesions 
Hepatobiliary,Fat containing liver lesions 
Urogenital,Fat containing renal lesions 
Chest,Fat containing solitary pulmonary nodule 
Chest,Fat containing thoracic lesions 
"Musculoskeletal,Paediatrics",Fatco syndrome 
"Chest,CNS",Fat embolism syndrome 
Gastrointestinal,Fat halo sign (inflammatory bowel disease) 
"Musculoskeletal,Trauma",Fatigue fracture 
CNS,Fat in dural sinuses 
Musculoskeletal,Fat metaplasia 
Breast,Fat necrosis (breast) 
Musculoskeletal,Fat pad impingement syndromes of the knee 
Musculoskeletal,Fat redistribution syndrome 
Gastrointestinal,Fat ring sign (mesenteric panniculitis) 
"Gastrointestinal,Chest",Fat stranding (CT) 
Gastrointestinal,Fat stranding (summary) 
Misc,Fat suppressed imaging 
CNS,Fatty falx cerebri 
Chest,Fatty mediastinal masses (differential) 
HN,Fatty nodal metaplasia 
Misc,Fat-water swapping artifact 
"Paediatrics,HN,Musculoskeletal",Faulty fetal packing 
CNS,Fazekas scale for white matter lesions 
Musculoskeletal,FBI sign (lipohemarthrosis) 
"CNS,Musculoskeletal",FCD (disambiguation) 
Misc,FDDNP (F-18) 
Misc,Featured cases 
Misc,Feature extraction 
Misc,Feature scaling 
"Paediatrics,HN",Febrile infection-related epilepsy syndrome (FIRES) 
Misc,Federated learning 
HN,Fédération Dentaire Internationale (FDI) notation 
Chest,Feeding vessel sign 
"Paediatrics,CNS,Musculoskeletal,Chest",Feingold syndrome 
"Chest,Gastrointestinal",Feline esophagus 
Chest,Felix Fleischner 
Misc,Fellow of College of Physicians and Surgeons Pakistan (diagnostic radiology) 
"Haematology,Musculoskeletal",Felty syndrome 
Gynaecology,Female infertility 
Urogenital,Female prostate sign 
"Obstetrics,Urogenital,Gynaecology",Female pseudohermaphroditism 
Gynaecology,Female reproductive system 
Urogenital,Female urethra 
Musculoskeletal,Femoral anteversion 
Vascular,Femoral artery 
"Trauma,Vascular,Interventional",Femoral artery pseudoaneurysm 
"Musculoskeletal,Gastrointestinal,Vascular",Femoral canal 
Musculoskeletal,Femoral diaphyseal stress injury 
"Paediatrics,Musculoskeletal",Femoral facial syndrome 
Musculoskeletal,Femoral head-neck offset (femoroacetabular impingement) 
"Musculoskeletal,Gastrointestinal",Femoral hernia 
Musculoskeletal,Femoral neck fracture 
Musculoskeletal,Femoral neck-shaft angle 
Musculoskeletal,Femoral nerve 
"Vascular,Musculoskeletal",Femoral nerve neuropathy 
Musculoskeletal,Femoral offset 
"Musculoskeletal,Vascular,Gastrointestinal",Femoral ring 
"Musculoskeletal,Vascular",Femoral sheath 
Musculoskeletal,Femoral torsion analysis 
Musculoskeletal,Femoral triangle 
Musculoskeletal,Femoral triangle boundaries (mnemonic) 
Musculoskeletal,Femoral triangle contents (mnemonic) 
Vascular,Femoral vein 
Musculoskeletal,Femoroacetabular impingement 
Musculoskeletal,Femoroacetabular joint 
Musculoskeletal,Femur 
Musculoskeletal,Femur (AP view) 
Obstetrics,Femur fibula ulna syndrome 
Musculoskeletal,Femur (lateral view) 
Obstetrics,Femur length (obstetric ultrasound) 
Misc,Femur series 
"Obstetrics,Paediatrics,Musculoskeletal",Femur sparing intrauterine growth restriction 
Musculoskeletal,Femur x-ray (summary) 
Vascular,Fenestrated endovascular aneurysm repair 
Misc,Ferromagnetism 
Chest,Ferruginous body 
Spine,Festooned dura (CSF leak) 
Obstetrics,Fetal abdominal circumference 
"Oncology,Chest",Fetal adenocarcinoma of the lung 
Obstetrics,Fetal adrenal hemorrhage 
Obstetrics,Fetal akinesia 
Obstetrics,Fetal akinesia sequence 
Obstetrics,Fetal alcohol syndrome 
"Obstetrics,Haematology",Fetal anemia 
Obstetrics,Fetal anasarca 
Obstetrics,Fetal anterior abdominal wall defects 
Obstetrics,Fetal arteriovenous malformations 
Obstetrics,Fetal ascites 
"Obstetrics,Cardiac",Fetal atrial fibrillation 
"Obstetrics,Cardiac",Fetal atrial flutter 
Obstetrics,Fetal biometric parameters 
Obstetrics,Fetal biophysical profile 
Obstetrics,Fetal bowel dilatation 
"Obstetrics,Cardiac",Fetal bradyarrhythmia 
"Obstetrics,Cardiac",Fetal bradycardia 
"Obstetrics,CNS",Fetal brain tumors 
"Obstetrics,Cardiac,Oncology",Fetal cardiac tumors 
"Obstetrics,Cardiac",Fetal cardiomegaly 
"Obstetrics,Cardiac",Fetal cardiomyopathy 
"Obstetrics,Cardiac",Fetal cardiothoracic circumference ratio 
Obstetrics,Fetal choledochal cyst 
Obstetrics,Fetal cholelithiasis 
Obstetrics,Fetal chylothorax 
"Vascular,Paediatrics,Obstetrics",Fetal circulation 
Obstetrics,Fetal clenched hands 
Obstetrics,Fetal colonic dilatation 
"Paediatrics,Obstetrics,Cardiac",Fetal complete atrioventricular block 
Obstetrics,Fetal conditions associated with maternal diabetes 
"Obstetrics,Urogenital",Fetal cystic renal disease 
Obstetrics,Fetal death in utero 
Obstetrics,Fetal dosimetry 
Obstetrics,Fetal ductus venosus flow assessment 
"Obstetrics,Cardiac",Fetal echocardiography views 
"Obstetrics,Gastrointestinal",Fetal enteric duplication cyst 
Obstetrics,Fetal fibronectin test 
"HN,Obstetrics",Fetal goiter 
Obstetrics,Fetal head sparing theory 
Obstetrics,Fetal heart beat 
Obstetrics,Fetal heart rate in the first and second trimester 
"Obstetrics,Hepatobiliary",Fetal hepatomegaly 
Obstetrics,Fetal hepatosplenomegaly 
Obstetrics,Fetal hydantoin syndrome 
"Obstetrics,Urogenital",Fetal hydrocele 
"CNS,Obstetrics",Fetal hydrocephalus 
"Obstetrics,Urogenital",Fetal hydronephrosis 
Obstetrics,Fetal hydrothorax 
Obstetrics,Fetal hypoxia 
"CNS,Obstetrics",Fetal interhemispheric cyst 
Obstetrics,Fetal intra-abdominal cysts (differential) 
"CNS,Obstetrics",Fetal intracranial calcification 
"CNS,Obstetrics",Fetal intracranial cystic lesions 
"Obstetrics,CNS",Fetal intracranial hemorrhage 
"Obstetrics,Hepatobiliary",Fetal intrahepatic calcification 
Obstetrics,Fetal limb bowing 
Paediatrics,Fetal lung interstitial tumor 
Obstetrics,Fetal maceration 
Obstetrics,Fetal macrocephaly 
Obstetrics,Fetal macrosomia 
Obstetrics,Fetal MCA systolic/diastolic ratio 
"Obstetrics,Urogenital",Fetal megacystis 
Obstetrics,Fetal middle cerebral arterial Doppler assessment 
Obstetrics,Fetal middle cerebral arterial peak systolic velocity 
"Obstetrics,Vascular",Fetal middle cerebral artery pulsatility index 
Obstetrics,Fetal MRI 
Obstetrics,Fetal neuroblastoma 
Obstetrics,Fetal nuchal edema 
Obstetrics,Fetal omental cyst 
"Obstetrics,Paediatrics",Fetal orbital masses 
Obstetrics,Fetal ovarian cyst 
Obstetrics,Fetal parvovirus B19 infection 
"Obstetrics,Cardiac",Fetal pericardial effusion 
"Cardiac,Obstetrics",Fetal pericardial teratoma 
Obstetrics,Fetal pleural effusion 
Obstetrics,Fetal pole 
Obstetrics,Fetal polycythemia 
"Vascular,CNS",Fetal posterior cerebral artery 
"Obstetrics,Cardiac",Fetal premature atrial contractions 
"Obstetrics,Cardiac",Fetal premature ventricular contractions 
"Obstetrics,Urogenital",Fetal pyelectasis 
"Obstetrics,Musculoskeletal",Fetal rib fractures 
"Obstetrics,Cardiac",Fetal right ventricular enlargement 
"CNS,Obstetrics",Fetal schizencephaly 
"Obstetrics,Cardiac",Fetal sinus bradycardia 
"HN,Obstetrics",Fetal skull vault sutures 
Obstetrics,Fetal splenomegaly 
"Obstetrics,Cardiac",Fetal supraventricular tachycardia 
"Obstetrics,Cardiac",Fetal tachyarrhythmia 
"Obstetrics,Cardiac",Fetal tachycardia 
"Haematology,Obstetrics",Fetal thrombocytopenia 
Obstetrics,Fetal toxoplasmosis 
"Obstetrics,Gynaecology",Fetal transverse cerebellar diameter 
"Paediatrics,Cardiac,Obstetrics",Fetal tricuspid regurgitation 
"Obstetrics,Paediatrics",Fetal tumors 
"Obstetrics,Urogenital",Fetal urachal cyst 
"Obstetrics,Urogenital",Fetal urinary ascites 
Obstetrics,Fetal valproate syndrome 
"Cardiac,Obstetrics",Fetal ventricular tachycardia 
"Obstetrics,CNS",Fetal ventriculomegaly 
"Obstetrics,CNS",Fetal ventriculomegaly (differential) 
Obstetrics,Fetal warfarin syndrome 
Obstetrics,Feto-maternal rhesus incompatibility 
"Paediatrics,Gastrointestinal,Obstetrics",Fetus in fetu 
Obstetrics,Fetus vs foetus 
Chest,FEV1/FVC ratio 
Misc,Fiber assignment by continuous tracking algorithm (FACT) 
CNS,Fibrillary astrocytoma 
"Chest,Vascular,Oncology",Fibrinous pericarditis 
"Interventional,Vascular",Fibrin sheath 
Breast,Fibroadenoma (breast) 
"Musculoskeletal,Vascular",Fibroadipose vascular anomaly (FAVA) 
Chest,Fibrobullous disease 
"CNS,Spine",Fibrocartilaginous embolism 
"Oncology,Musculoskeletal",Fibrocartilaginous mesenchymoma 
Breast,Fibrocystic change (breast) 
"Musculoskeletal,Paediatrics",Fibrodysplasia ossificans progressiva 
"Oncology,Hepatobiliary",Fibrolamellar hepatocellular carcinoma 
Musculoskeletal,Fibrolipomatous hamartoma of the nerve 
Musculoskeletal,Fibromatosis 
"Musculoskeletal,Paediatrics",Fibromatosis colli 
Breast,Fibromatosis of the breast 
"Interventional,Urogenital,Gastrointestinal,Cardiac,HN,Vascular,CNS",Fibromuscular dysplasia 
Vascular,Fibromuscular dysplasia classification 
Hepatobiliary,Fibropolycystic liver disease 
Oncology,Fibrosarcoma 
Musculoskeletal,Fibrosarcoma of the bone 
"Breast,Oncology",Fibrosarcoma of the breast 
Chest,Fibrosarcoma of the chest wall 
"Gastrointestinal,Paediatrics",Fibrosing colonopathy 
Chest,Fibrosing mediastinitis 
Chest,Fibrosing organizing pneumonia 
Chest,Fibrothorax 
Chest,Fibrotic idiopathic interstitial pneumonia 
Chest,Fibrotic non-specific interstitial pneumonitis 
"Musculoskeletal,Paediatrics",Fibrous cortical defect 
"Musculoskeletal,Paediatrics",Fibrous dysplasia 
"Paediatrics,Musculoskeletal",Fibrous hamartoma of infancy 
Musculoskeletal,Fibrous joints 
Musculoskeletal,Fibrous lesions 
CNS,Fibrous meningioma 
Urogenital,Fibrous pseudotumor of the scrotum 
"Musculoskeletal,Paediatrics",Fibroxanthoma of bone 
Musculoskeletal,Fibula 
Vascular,Fibular artery 
Musculoskeletal,Fibular collateral ligament-biceps femoris bursa 
"Musculoskeletal,Paediatrics",Fibular hemimelia 
Musculoskeletal,Ficat and Arlet classification of avascular necrosis of femoral head 
Musculoskeletal,Ficat classification of osteonecrosis 
"Musculoskeletal,Spine",Fifth lumbar vertebra (L5) 
CNS,Fifth ventricle (disambiguation) 
Gynaecology,FIGO classification system for the causes of abnormal uterine bleeding in non-gravid women of reproductive age (mnemonic) 
"Gynaecology,Oncology",FIGO staging system 
"Vascular,Chest",Figure 3 sign (aortic coarctation) 
"CNS,Cardiac",Figure of eight appearance 
Misc,Filament circuit 
"Paediatrics,CNS,Spine",Filar cyst 
Urogenital,Filarial dance sign 
"Breast,Urogenital,Musculoskeletal",Filariasis 
"Vascular,Urogenital,Paediatrics,Interventional,Hepatobiliary,Gynaecology,Gastrointestinal,Chest,CNS,Cardiac,Breast",Filling defect 
Misc,Film dosimeter 
Misc,Filtered back projection 
Misc,Filters 
Spine,Filum terminale 
"Obstetrics,Gynaecology",Fimbrial ectopic pregnancy 
Misc,Final FRCR Part A examination 
Misc,Final FRCR Part B examination 
Misc,Final FRCR Part B long cases examination 
Misc,Final FRCR Part B rapid reporting 
Misc,Final FRCR Part B viva 
Misc,Findable accessible interoperable reusable data principles (FAIR) 
Misc,Findings (cases) 
Misc,Fine needle aspiration (FNA) 
"Chest,Cardiac,Oncology,Musculoskeletal",Finger clubbing 
Misc,Finger clubbing (mnemonic) 
Chest,Finger in glove sign (lung) 
Musculoskeletal,Finger (oblique view) 
Musculoskeletal,Finger (PA view) 
Musculoskeletal,Finger protocol (MRI) 
"Musculoskeletal,Trauma",Finger pulley injury 
Musculoskeletal,Finger series 
Paediatrics,Finger series (pediatric) 
Musculoskeletal,Fingers (lateral view) 
Musculoskeletal,Fingertip lesions (mnemonic) 
Musculoskeletal,Finkelstein test 
"Obstetrics,Urogenital",Finnish type congenital nephrotic syndrome 
HN,First branchial cleft cyst 
HN,First branchial cleft fistula 
Misc,First FRCR exam 
Musculoskeletal,First metatarsal axis 
Musculoskeletal,First metatarsophalangeal angle 
"Chest,Musculoskeletal",First rib 
Obstetrics,First trimester 
"CNS,Vascular",Fisher scale 
Urogenital,Fishhook ureters 
Musculoskeletal,Fishtail deformity (elbow) 
Gastrointestinal,Fishtail pancreas 
"Musculoskeletal,Spine",Fish vertebra 
HN,Fissula ante fenestram 
Gastrointestinal,Fissure for ligamentum teres sign 
"Vascular,Urogenital,Hepatobiliary,Gynaecology,Gastrointestinal,Chest,Breast",Fistula 
HN,Fistula test 
"Hepatobiliary,Gynaecology",Fitz-Hugh-Curtis syndrome 
"Paediatrics,Cardiac",Five Ts of cyanotic congenital heart disease (mnemonic) 
Misc,Fixing solution 
"Chest,Musculoskeletal,Trauma",Flail chest 
Cardiac,Flail leaflet 
CNS,FLAIR-hyperintense lesions in anti-MOG associated encephalitis with seizures (FLAMES) 
CNS,FLAIR vascular hyperintensities 
"Spine,CNS",Flame sign (spinal cord metastasis) 
Musculoskeletal,Flap tear 
"Musculoskeletal,Oncology",Flare phenomenon (bone scintigraphy) 
Hepatobiliary,Flash filling hepatic hemangioma 
Misc,Flash mode (CEUS) 
"Spine,Musculoskeletal",Flat back syndrome 
Musculoskeletal,Flat bones 
Breast,Flat epithelial atypia 
"CNS,Paediatrics",Flat floor of fourth ventricle sign 
Misc,Flat panel CT 
Misc,Flat panel detector 
Chest,Flattening of the diaphragm 
